# Document parsed from: List_of_Business_Partners.xlsx

## Page 1

|#|BP Code|DSL Code|Old SAP Code|Group|District|BP Name|Tem Suspended|BP Type|Contact Person|Other Name|Price List|Route Code|Town|Adress|Federal Tax ID|
|85|ELCA10085|BTB001|BTB020|100|Batticaloa|THAYA MOTOR STORES|N|C|A.PATHMANADAN||Wholesale Price|||||
|86|ELCA10086|BTE003|BTE003|100|Batticaloa|CTB ERAVUR|N|C|||Wholesale Price||Eravur Town||409006671-7000|
|87|ELCA10087|BTK004|BTK009|100|Ampara|RIFAS MOTORS|N|C|MR.JUFEER||Wholesale Price||Samanthurai|||
|88|ELCA10088|BTM002|BTM001|100|Trincomalee|ISHARA MOTORS|Y|C|MR.T.FARHAN||Wholesale Price||Muttur|||
|89|ELCA10089|C01002|C01002|100|Colombo|S.L.T.B REGIONAL OFFICE|Y|C|||Wholesale Price|R01 - Colombo|Colombo||409006671-7000|
|90|ELCA10090|C02010|C02010|100|Colombo|FREIGHT LINKS INT. (PVT) LTD.|N|C|MR. MRS.YAMUNA JAYAWARDHANA||Wholesale Price|R01 - Colombo|Colombo-02||114085987-7000|
|91|ELCA10091|C02011|C02011|100|Colombo|LITRO GAS LANKA LIMITED|N|C|MISS. PIUMI ABEYRATHNE||Wholesale Price|R01 - Colombo|Colombo-02||294001530-7000|
|92|ELCA10092|C02012|C02012|100|Colombo|NAWALOKA CONS. CO. PVT LTD|N|C|MR. CHANDULA PERERA||Wholesale Price|R01 - Colombo|Colombo-02||104039545-7000|
|93|ELCA10093|C02013|C02013|100|Colombo|PACIFIC CONTAINER LINE AGENCY|N|C|MR. K.M.D. UPALI||Wholesale Price|R01 - Colombo|Colombo-02|||
|94|ELCA10094|C02014|C02014|100|Colombo|IDEAL PREMIER (PVT) LTD|Y|C|MR.C FERNANDO||Wholesale Price|R01 - Colombo|Colombo-02||174035229-7000|
|95|ELCA10095|C02014|C02045|100|Colombo|ACCESS ENGINEERING PLC|N|C|||Wholesale Price|R01 - Colombo|Colombo-02||134009322-7000|
